timestamp,sessionID,datetime,type,imei,status,band,mcc,mnc,pci,rsrp,rsrq,asu,rssnr,ta,cqi,ci,lat,lon,alt,acc,speed,speed_acc
1687180933306,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:14.388Z,LTE,355017071801794,2147483647,100,262,2,155,-104,-6,36,9,3,14,8336405,51.3207208,12.342182,155.0,6.616,0.18839651,2.14748365E9,
1687180935500,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:16.576Z,LTE,355017071801794,2147483647,100,262,2,155,-96,-7,44,7,3,11,8336405,51.3206919,12.3421554,155.0,8.454,0.09215727,2.14748365E9,
1687180937688,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:17.690Z,LTE,355017071801794,2147483647,100,262,2,155,-105,-7,35,7,3,10,8336405,51.3206807,12.3421416,155.0,9.593,0.053568512,2.14748365E9,
1687180937688,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:17.690Z,LTE,355017071801794,2147483647,100,0,0,433,-108,-12,32,0,0,0,0,51.3206807,12.3421416,155.0,9.593,0.053568512,2.14748365E9,
1687180937687,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:18.763Z,LTE,355017071801794,2147483647,100,262,2,155,-105,-7,35,7,3,10,8336405,51.3206724,12.3421307,155.0,11.52,0.056012843,2.14748365E9,
1687180937687,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:18.763Z,LTE,355017071801794,2147483647,100,0,0,433,-108,-12,32,0,0,0,0,51.3206724,12.3421307,155.0,11.52,0.056012843,2.14748365E9,
1687180939848,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:20.882Z,LTE,355017071801794,2147483647,100,262,2,155,-100,-6,40,6,3,14,8336405,51.3206668,12.3421132,155.0,13.038,0.026222244,2.14748365E9,
1687180939848,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:20.882Z,LTE,355017071801794,2147483647,100,0,0,433,-106,-13,34,0,0,0,0,51.3206668,12.3421132,155.0,13.038,0.026222244,2.14748365E9,
1687180941878,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:23.002Z,LTE,355017071801794,2147483647,100,262,2,155,-100,-6,40,6,3,15,8336405,51.3206751,12.3421173,155.0,12.938,0.014003825,2.14748365E9,
1687180944088,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:25.160Z,LTE,355017071801794,2147483647,100,262,2,155,-101,-7,39,6,3,15,8336405,51.3206778,12.3421186,155.0,12.838,0.2504194,2.14748365E9,
1687180944088,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:25.160Z,LTE,355017071801794,2147483647,100,0,0,154,-108,-17,32,0,0,0,0,51.3206778,12.3421186,155.0,12.838,0.2504194,2.14748365E9,
1687180946261,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:27.329Z,LTE,355017071801794,2147483647,100,262,2,155,-106,-9,34,5,3,15,8336405,51.3206898,12.3421202,155.0,12.871,0.3392922,2.14748365E9,
1687180946261,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:27.329Z,LTE,355017071801794,2147483647,100,0,0,433,-110,-13,30,0,0,0,0,51.3206898,12.3421202,155.0,12.871,0.3392922,2.14748365E9,
1687180948355,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:29.378Z,LTE,355017071801794,2147483647,100,262,2,155,-104,-8,36,7,3,15,8336405,51.3206957,12.3421189,155.0,12.926,0.18719801,2.14748365E9,
1687180950410,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:30.411Z,LTE,355017071801794,2147483647,100,262,2,433,-101,-8,39,-7,10,6,8196628,51.3206967,12.3421171,155.0,12.963,0.27973634,2.14748365E9,
1687180950409,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:31.457Z,LTE,355017071801794,2147483647,100,262,2,433,-101,-8,39,-7,10,6,8196628,51.3206861,12.3421102,155.0,13.385,0.20898286,2.14748365E9,
1687180950409,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:31.457Z,LTE,355017071801794,2147483647,100,0,0,155,-107,-13,33,0,0,0,0,51.3206861,12.3421102,155.0,13.385,0.20898286,2.14748365E9,
1687180950409,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:31.457Z,LTE,355017071801794,2147483647,6300,0,0,369,-97,-10,43,0,0,0,0,51.3206861,12.3421102,155.0,13.385,0.20898286,2.14748365E9,
1687180952503,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:33.557Z,LTE,355017071801794,2147483647,100,262,2,433,-107,-10,33,1,10,12,8196628,51.3206739,12.3421015,155.0,14.379,0.029593516,2.14748365E9,
1687180952502,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:33.557Z,LTE,355017071801794,2147483647,100,0,0,155,-108,-10,32,0,0,0,0,51.3206739,12.3421015,155.0,14.379,0.029593516,2.14748365E9,
1687180952502,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:33.557Z,LTE,355017071801794,2147483647,6300,0,0,369,-97,-10,43,0,0,0,0,51.3206739,12.3421015,155.0,14.379,0.029593516,2.14748365E9,
1687180954645,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:34.649Z,LTE,355017071801794,2147483647,100,262,2,433,-104,-9,36,6,10,15,8196628,51.3206701,12.342099,155.0,14.841,0.022628738,2.14748365E9,
1687180954645,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:34.649Z,LTE,355017071801794,2147483647,100,0,0,155,-108,-12,32,0,0,0,0,51.3206701,12.342099,155.0,14.841,0.022628738,2.14748365E9,
1687180954645,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:34.649Z,LTE,355017071801794,2147483647,6300,0,0,369,-95,-10,45,0,0,0,0,51.3206701,12.342099,155.0,14.841,0.022628738,2.14748365E9,
1687180954644,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:35.696Z,LTE,355017071801794,2147483647,100,262,2,433,-104,-9,36,6,10,15,8196628,51.3206679,12.3420976,155.0,15.534,0.006992946,2.14748365E9,
1687180954644,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:35.696Z,LTE,355017071801794,2147483647,100,0,0,155,-108,-12,32,0,0,0,0,51.3206679,12.3420976,155.0,15.534,0.006992946,2.14748365E9,
1687180954644,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:35.696Z,LTE,355017071801794,2147483647,6300,0,0,369,-95,-10,45,0,0,0,0,51.3206679,12.3420976,155.0,15.534,0.006992946,2.14748365E9,
1687180956757,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:37.794Z,LTE,355017071801794,2147483647,100,262,2,433,-104,-8,36,8,10,15,8196628,51.3205318,12.3419758,155.0,14.182,0.15951577,2.14748365E9,
1687180956757,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:37.794Z,LTE,355017071801794,2147483647,100,0,0,155,-106,-15,34,0,0,0,0,51.3205318,12.3419758,155.0,14.182,0.15951577,2.14748365E9,
1687180956757,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:37.794Z,LTE,355017071801794,2147483647,6300,0,0,369,-97,-10,43,0,0,0,0,51.3205318,12.3419758,155.0,14.182,0.15951577,2.14748365E9,
1687180958839,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:38.843Z,LTE,355017071801794,2147483647,100,0,0,155,-101,-10,39,0,0,0,0,51.3204656,12.3418957,155.0,13.539,0.20041108,2.14748365E9,
1687180958839,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:39.880Z,LTE,355017071801794,2147483647,100,262,2,433,-99,-11,41,2,10,12,8196628,51.320421,12.3418348,155.0,13.209,0.26656562,2.14748365E9,
1687180958840,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:39.880Z,LTE,355017071801794,2147483647,100,0,0,155,-101,-10,39,0,0,0,0,51.320421,12.3418348,155.0,13.209,0.26656562,2.14748365E9,
1687180958839,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:39.880Z,LTE,355017071801794,2147483647,6300,0,0,369,-96,-9,44,0,0,0,0,51.320421,12.3418348,155.0,13.209,0.26656562,2.14748365E9,
1687180960932,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:42.001Z,LTE,355017071801794,2147483647,100,262,2,433,-105,-11,35,4,10,14,8196628,51.32063,12.3420575,154.89999389648438,11.642,0.047868446,2.14748365E9,
1687180960932,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:42.001Z,LTE,355017071801794,2147483647,100,0,0,155,-104,-11,36,0,0,0,0,51.32063,12.3420575,154.89999389648438,11.642,0.047868446,2.14748365E9,
1687180960932,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:42.001Z,LTE,355017071801794,2147483647,6300,0,0,369,-96,-8,44,0,0,0,0,51.32063,12.3420575,154.89999389648438,11.642,0.047868446,2.14748365E9,
1687180963078,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:43.082Z,LTE,355017071801794,2147483647,100,0,0,155,-111,-11,29,0,0,0,0,51.3206844,12.3421289,154.89999389648438,10.326,0.43917364,2.14748365E9,
1687180963078,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:43.082Z,LTE,355017071801794,2147483647,6300,0,0,369,-101,-10,39,0,0,0,0,51.3206844,12.3421289,154.89999389648438,10.326,0.43917364,2.14748365E9,
1687180963078,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:43.082Z,LTE,355017071801794,2147483647,6300,0,0,370,-105,-17,35,0,0,0,0,51.3206844,12.3421289,154.89999389648438,10.326,0.43917364,2.14748365E9,
1687180963079,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:44.223Z,LTE,355017071801794,2147483647,100,262,2,433,-111,-11,29,3,10,9,8196628,51.3206846,12.3421379,154.89999389648438,8.985,0.4005987,2.14748365E9,
1687180963079,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:44.223Z,LTE,355017071801794,2147483647,100,0,0,155,-111,-11,29,0,0,0,0,51.3206846,12.3421379,154.89999389648438,8.985,0.4005987,2.14748365E9,
1687180963079,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:44.223Z,LTE,355017071801794,2147483647,6300,0,0,369,-101,-10,39,0,0,0,0,51.3206846,12.3421379,154.89999389648438,8.985,0.4005987,2.14748365E9,
1687180963079,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:44.223Z,LTE,355017071801794,2147483647,6300,0,0,370,-105,-17,35,0,0,0,0,51.3206846,12.3421379,154.89999389648438,8.985,0.4005987,2.14748365E9,
1687180965363,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:45.371Z,LTE,355017071801794,2147483647,100,262,2,433,-101,-9,39,3,10,15,8196628,51.320678,12.3421345,154.89999389648438,7.354,0.38964066,2.14748365E9,
1687180965363,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:45.371Z,LTE,355017071801794,2147483647,100,0,0,155,-109,-10,31,0,0,0,0,51.320678,12.3421345,154.89999389648438,7.354,0.38964066,2.14748365E9,
1687180965364,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:45.371Z,LTE,355017071801794,2147483647,6300,0,0,369,-100,-10,40,0,0,0,0,51.320678,12.3421345,154.89999389648438,7.354,0.38964066,2.14748365E9,
1687180965364,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:45.371Z,LTE,355017071801794,2147483647,6300,0,0,370,-103,-14,37,0,0,0,0,51.320678,12.3421345,154.89999389648438,7.354,0.38964066,2.14748365E9,
1687180965364,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:46.598Z,LTE,355017071801794,2147483647,100,262,2,433,-101,-9,39,3,10,15,8196628,51.3206804,12.3421348,154.89999389648438,5.627,0.546113,2.14748365E9,
1687180965364,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:46.598Z,LTE,355017071801794,2147483647,100,0,0,155,-109,-10,31,0,0,0,0,51.3206804,12.3421348,154.89999389648438,5.627,0.546113,2.14748365E9,
1687180965363,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:46.598Z,LTE,355017071801794,2147483647,6300,0,0,369,-100,-10,40,0,0,0,0,51.3206804,12.3421348,154.89999389648438,5.627,0.546113,2.14748365E9,
1687180965363,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:46.598Z,LTE,355017071801794,2147483647,6300,0,0,370,-103,-14,37,0,0,0,0,51.3206804,12.3421348,154.89999389648438,5.627,0.546113,2.14748365E9,
1687180967633,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:47.638Z,LTE,355017071801794,2147483647,100,0,0,155,-107,-13,33,0,0,0,0,51.3206788,12.3421333,154.89999389648438,5.579,0.6471254,2.14748365E9,
1687180967633,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:47.638Z,LTE,355017071801794,2147483647,6300,0,0,369,-100,-12,40,0,0,0,0,51.3206788,12.3421333,154.89999389648438,5.579,0.6471254,2.14748365E9,
1687180967633,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:48.694Z,LTE,355017071801794,2147483647,100,262,2,433,-104,-11,36,0,10,13,8196628,51.3206725,12.342128,154.89999389648438,5.536,0.767105,2.14748365E9,
1687180967632,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:48.694Z,LTE,355017071801794,2147483647,100,0,0,155,-107,-13,33,0,0,0,0,51.3206725,12.342128,154.89999389648438,5.536,0.767105,2.14748365E9,
1687180967632,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:48.694Z,LTE,355017071801794,2147483647,6300,0,0,369,-100,-12,40,0,0,0,0,51.3206725,12.342128,154.89999389648438,5.536,0.767105,2.14748365E9,
1687180969743,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:50.767Z,LTE,355017071801794,2147483647,100,262,2,433,-103,-10,37,1,10,13,8196628,51.3206495,12.3421167,154.79998779296875,6.052,0.7580843,2.14748365E9,
1687180969743,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:50.767Z,LTE,355017071801794,2147483647,100,0,0,155,-105,-15,35,0,0,0,0,51.3206495,12.3421167,154.79998779296875,6.052,0.7580843,2.14748365E9,
1687180969743,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:50.767Z,LTE,355017071801794,2147483647,6300,0,0,369,-98,-10,42,0,0,0,0,51.3206495,12.3421167,154.79998779296875,6.052,0.7580843,2.14748365E9,
1687180971801,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:51.803Z,LTE,355017071801794,2147483647,100,262,2,155,-100,-12,40,2,4,6,8336405,51.3206533,12.3421168,154.79998779296875,6.105,0.60839105,2.14748365E9,
1687180971802,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:52.821Z,LTE,355017071801794,2147483647,100,262,2,155,-100,-12,40,2,4,6,8336405,51.3206538,12.3421116,154.79998779296875,6.068,0.51835954,2.14748365E9,
1687180971802,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:52.821Z,LTE,355017071801794,2147483647,100,0,0,154,-100,-11,40,0,0,0,0,51.3206538,12.3421116,154.79998779296875,6.068,0.51835954,2.14748365E9,
1687180973854,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:54.896Z,LTE,355017071801794,2147483647,100,262,2,155,-108,-11,32,3,4,8,8336405,51.3206549,12.3421052,154.79998779296875,5.901,0.38940835,2.14748365E9,
1687180973854,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:54.896Z,LTE,355017071801794,2147483647,100,0,0,433,-109,-10,31,0,0,0,0,51.3206549,12.3421052,154.79998779296875,5.901,0.38940835,2.14748365E9,
1687180973854,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:54.896Z,LTE,355017071801794,2147483647,100,0,0,154,-111,-12,29,0,0,0,0,51.3206549,12.3421052,154.79998779296875,5.901,0.38940835,2.14748365E9,
1687180975972,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:57.051Z,LTE,355017071801794,2147483647,100,262,2,155,-100,-9,40,4,4,15,8336405,51.3206773,12.3421202,154.89999389648438,5.953,0.19521295,2.14748365E9,
1687180975971,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:57.051Z,LTE,355017071801794,2147483647,100,0,0,433,-105,-12,35,0,0,0,0,51.3206773,12.3421202,154.89999389648438,5.953,0.19521295,2.14748365E9,
1687180975972,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:57.051Z,LTE,355017071801794,2147483647,100,0,0,154,-106,-13,34,0,0,0,0,51.3206773,12.3421202,154.89999389648438,5.953,0.19521295,2.14748365E9,
1687180978111,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:22:59.151Z,LTE,355017071801794,2147483647,100,262,2,155,-107,-12,33,2,10,10,8196628,51.3206827,12.3421265,154.89999389648438,6.136,0.25377145,2.14748365E9,
1687180980188,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:00.191Z,LTE,355017071801794,2147483647,100,0,0,155,-108,-10,32,0,0,0,0,51.3206777,12.3421283,154.89999389648438,6.266,0.4600458,2.14748365E9,
1687180980188,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:01.239Z,LTE,355017071801794,2147483647,100,262,2,433,-102,-10,38,2,10,14,8196628,51.3206887,12.3421371,154.89999389648438,6.409,0.5325738,2.14748365E9,
1687180980189,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:01.239Z,LTE,355017071801794,2147483647,100,0,0,155,-108,-10,32,0,0,0,0,51.3206887,12.3421371,154.89999389648438,6.409,0.5325738,2.14748365E9,
1687180980188,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:01.239Z,LTE,355017071801794,2147483647,6300,0,0,369,-104,-11,36,0,0,0,0,51.3206887,12.3421371,154.89999389648438,6.409,0.5325738,2.14748365E9,
1687180982352,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:02.356Z,LTE,355017071801794,2147483647,100,262,2,433,-99,-10,41,1,10,15,8196628,51.3206881,12.3421384,154.89999389648438,6.468,0.7798191,2.14748365E9,
1687180982353,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:02.356Z,LTE,355017071801794,2147483647,6300,0,0,369,-100,-11,40,0,0,0,0,51.3206881,12.3421384,154.89999389648438,6.468,0.7798191,2.14748365E9,
1687180982353,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:03.422Z,LTE,355017071801794,2147483647,100,262,2,433,-99,-10,41,1,10,15,8196628,51.3206825,12.342134,154.89999389648438,6.591,0.95657426,2.14748365E9,
1687180982352,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:03.422Z,LTE,355017071801794,2147483647,6300,0,0,369,-100,-11,40,0,0,0,0,51.3206825,12.342134,154.89999389648438,6.591,0.95657426,2.14748365E9,
1687180982353,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:03.422Z,LTE,355017071801794,2147483647,6300,0,0,370,-104,-15,36,0,0,0,0,51.3206825,12.342134,154.89999389648438,6.591,0.95657426,2.14748365E9,
1687180984482,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:04.489Z,LTE,355017071801794,2147483647,100,0,0,155,-109,-11,31,0,0,0,0,51.3206766,12.3421275,154.89999389648438,6.882,1.0744363,2.14748365E9,
1687180984482,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:05.551Z,LTE,355017071801794,2147483647,100,262,2,433,-103,-10,37,1,10,11,8196628,51.3206725,12.3421225,154.89999389648438,7.407,1.1147885,2.14748365E9,
1687180984483,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:05.551Z,LTE,355017071801794,2147483647,100,0,0,155,-109,-11,31,0,0,0,0,51.3206725,12.3421225,154.89999389648438,7.407,1.1147885,2.14748365E9,
1687180984483,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:05.551Z,LTE,355017071801794,2147483647,6300,0,0,369,-98,-11,42,0,0,0,0,51.3206725,12.3421225,154.89999389648438,7.407,1.1147885,2.14748365E9,
1687180986629,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:06.632Z,LTE,355017071801794,2147483647,6300,0,0,369,-100,-11,40,0,0,0,0,51.3206887,12.3421294,154.89999389648438,7.626,1.0097631,2.14748365E9,
1687180986628,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:07.680Z,LTE,355017071801794,2147483647,100,262,2,433,-103,-8,37,1,10,9,8196628,51.3207521,12.3421638,154.89999389648438,8.513,0.76960254,2.14748365E9,
1687180986628,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:07.680Z,LTE,355017071801794,2147483647,6300,0,0,369,-100,-11,40,0,0,0,0,51.3207521,12.3421638,154.89999389648438,8.513,0.76960254,2.14748365E9,
1687180986628,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:07.680Z,LTE,355017071801794,2147483647,6300,0,0,370,-105,-18,35,0,0,0,0,51.3207521,12.3421638,154.89999389648438,8.513,0.76960254,2.14748365E9,
1687180988755,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:09.798Z,LTE,355017071801794,2147483647,100,262,2,433,-103,-9,37,2,10,9,8196628,51.3207997,12.3421896,154.89999389648438,10.046,1.026524,2.14748365E9,
1687180988756,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:09.798Z,LTE,355017071801794,2147483647,100,0,0,155,-111,-14,29,0,0,0,0,51.3207997,12.3421896,154.89999389648438,10.046,1.026524,2.14748365E9,
1687180988755,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:09.798Z,LTE,355017071801794,2147483647,6300,0,0,369,-97,-9,43,0,0,0,0,51.3207997,12.3421896,154.89999389648438,10.046,1.026524,2.14748365E9,
1687180990844,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:11.895Z,LTE,355017071801794,2147483647,100,262,2,433,-106,-8,34,4,10,10,8196628,51.3208715,12.3422321,154.89999389648438,9.593,1.1549904,2.14748365E9,
1687180990844,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:11.895Z,LTE,355017071801794,2147483647,100,0,0,155,-111,-14,29,0,0,0,0,51.3208715,12.3422321,154.89999389648438,9.593,1.1549904,2.14748365E9,
1687180990845,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:11.895Z,LTE,355017071801794,2147483647,6300,0,0,369,-97,-10,43,0,0,0,0,51.3208715,12.3422321,154.89999389648438,9.593,1.1549904,2.14748365E9,
1687180992988,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:14.078Z,LTE,355017071801794,2147483647,100,262,2,433,-107,-9,33,5,10,11,8196628,51.3208988,12.3422543,154.89999389648438,8.245,1.0894461,2.14748365E9,
1687180992988,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:14.078Z,LTE,355017071801794,2147483647,100,0,0,155,-111,-11,29,0,0,0,0,51.3208988,12.3422543,154.89999389648438,8.245,1.0894461,2.14748365E9,
1687180992988,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:14.078Z,LTE,355017071801794,2147483647,6300,0,0,369,-100,-13,40,0,0,0,0,51.3208988,12.3422543,154.89999389648438,8.245,1.0894461,2.14748365E9,
1687180995181,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:16.238Z,LTE,355017071801794,2147483647,100,262,2,433,-106,-8,34,4,10,15,8196628,51.3209361,12.3422877,155.0,7.0,1.0598344,2.14748365E9,
1687180995181,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:16.238Z,LTE,355017071801794,2147483647,6300,0,0,369,-102,-13,38,0,0,0,0,51.3209361,12.3422877,155.0,7.0,1.0598344,2.14748365E9,
1687180997312,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:17.315Z,LTE,355017071801794,2147483647,100,262,2,433,-100,-7,40,8,10,10,8196628,51.3209527,12.3422955,155.0,7.025,1.0570853,2.14748365E9,
1687180997313,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:18.353Z,LTE,355017071801794,2147483647,100,262,2,433,-100,-7,40,8,10,10,8196628,51.320967,12.3422991,155.0,6.934,1.0423763,2.14748365E9,
1687180997312,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:18.353Z,LTE,355017071801794,2147483647,6300,0,0,369,-102,-12,38,0,0,0,0,51.320967,12.3422991,155.0,6.934,1.0423763,2.14748365E9,
1687180999433,hfapp2_2023-06-19T13:02:59.633Z,2023-06-19T13:23:19.440Z,LTE,355017071801794,2147483647,100,262,2,433,-101,-7,39,8,10,8,8196628,51.3209725,12.3423003,155.0,6.937,1.0375383,2.14748365E9,
